ev_id,origin_time_utc,evla,evlo,evdep_km,mag,n_picks
617787739,2020-03-15T22:04:25.36,27.3202,55.3587,14.2,,12
617796709,2020-03-17T16:06:23.44,-16.1582,-172.1447,16.0,5.8,19
617796851,2020-03-18T03:13:29.29,3.0122,127.9719,106.1,5.7,22
617796852,2020-03-18T03:13:45.23,-13.1495,167.0665,185.2,6.0,23
617799112,2020-03-18T13:09:31.98,40.7300,-112.0606,8.9,5.7,28
617799136,2020-03-18T17:45:39.39,-11.0658,115.1714,23.8,6.0,38
617805561,2020-03-20T01:33:15.05,28.6056,87.3687,12.5,5.7,17
617805570,2020-03-20T03:03:13.68,45.9787,94.0017,15.0,5.8,10
617808686,2020-03-21T00:49:51.76,39.3009,20.5651,14.9,5.6,13
617810107,2020-03-22T03:34:55.39,1.2653,122.0505,29.9,,12
617810109,2020-03-22T05:24:03.52,45.9027,16.0086,10.7,5.5,10
617810122,2020-03-22T06:48:43.81,-11.0357,115.2607,14.5,,20
617810883,2020-03-23T11:04:33.03,-6.1630,130.6745,102.1,,20
617818095,2020-03-26T15:38:03.70,5.6349,125.0918,66.6,5.9,32
617818171,2020-03-26T21:36:43.28,-2.9367,139.1839,45.5,5.6,19
617818593,2020-03-27T06:40:42.72,28.2308,57.1483,18.1,5.5,15
617824092,2020-03-28T23:10:38.48,-7.1446,124.0607,600.6,,26
617824104,2020-03-28T15:43:17.08,-1.8255,120.0861,8.0,5.6,21
617824126,2020-03-29T18:19:14.52,-21.4972,169.6908,12.8,,16
617824143,2020-03-29T02:46:00.88,-5.1634,144.2245,96.0,,16
617826762,2020-04-02T02:13:13.65,-8.0945,125.7113,33.4,5.5,17
617827391,2020-04-02T21:42:41.98,-7.0181,126.5410,420.4,,25
617827823,2020-03-23T20:33:38.53,-25.3121,179.7269,502.5,,18
617833700,2020-04-04T09:24:19.79,-19.4466,-173.2544,18.4,,13
617833891,2020-04-05T18:37:11.12,1.4714,126.4043,48.1,6.0,29
617844102,2020-04-08T10:02:31.35,-15.7218,-177.5000,420.4,5.5,21
617856606,2020-03-28T17:48:18.05,-17.7931,168.3832,103.7,,11
617944324,2020-04-10T18:45:49.78,5.5842,126.4519,84.3,5.7,17
618037100,2020-04-12T06:57:48.56,-36.8407,77.4222,16.9,5.8,12
618037854,2020-04-14T01:06:46.74,-30.4493,-176.3083,27.4,5.8,16
618037870,2020-04-14T06:31:49.70,7.1431,143.3277,14.1,,11
618099894,2020-04-15T21:03:38.99,1.0781,126.6296,54.8,5.6,30
618099906,2020-04-15T22:42:20.41,-5.3989,152.7414,48.0,,20
618102373,2020-04-16T11:45:24.81,22.7761,94.0084,22.2,5.9,21
618119386,2020-04-17T00:22:44.76,56.1938,-153.6261,15.1,,18
618122527,2020-04-17T16:30:48.88,-23.7682,69.3940,16.7,5.7,10
618124301,2020-01-23T05:53:04.22,51.9367,-177.8419,13.4,6.3,40
618124554,2020-01-26T06:40:51.49,51.0750,-179.8461,31.7,5.8,12
618125671,2020-04-19T13:09:34.18,3.9104,126.1719,42.0,,18
618127911,2020-04-20T00:34:35.29,-15.3267,167.5424,119.8,,22
618140082,2020-04-22T22:31:26.60,-22.1636,-175.4694,51.2,5.5,12
618169830,2020-04-25T03:01:00.70,-18.7999,-175.3561,229.1,,16
618171528,2020-04-26T13:43:59.68,-3.9978,151.3994,21.0,,10
618172717,2020-04-13T14:59:35.87,0.2364,126.8293,43.4,,13
618172844,2020-04-26T23:48:45.36,5.6593,126.8458,72.3,,10
618172874,2020-04-27T08:40:43.77,-3.7385,151.4619,18.1,,21
618214546,2020-05-01T13:48:38.79,4.6242,127.0598,83.7,,11
618215629,2020-05-02T16:44:26.33,34.1210,25.6354,11.6,5.5,14
618215654,2020-05-02T12:51:05.87,34.1862,25.7680,13.5,6.7,21
618216153,2020-05-03T07:06:45.53,-6.2247,104.6788,55.3,,18
618225812,2020-04-25T02:53:07.67,-6.5591,154.3123,25.0,6.3,19
618230022,2020-05-05T23:20:40.46,-15.3844,-172.7586,19.6,5.5,20
618230105,2020-03-18T05:31:33.69,-11.0061,164.4012,14.1,,21
618230862,2020-05-06T10:51:00.74,39.6979,73.9036,11.6,,15
618238005,2020-05-09T05:49:12.11,-7.1723,129.5184,149.8,,15
618239103,2020-05-11T01:06:19.06,-6.0393,129.8954,14.0,5.5,25
618258937,2020-05-02T13:33:50.03,34.1236,25.5452,14.8,,17
618259420,2020-05-15T11:03:29.68,38.1142,-117.8613,11.4,6.4,18
618271819,2020-05-15T14:12:05.32,-6.4936,128.2383,324.9,,15
618271826,2020-05-15T14:49:19.71,-15.7619,-172.8354,7.0,5.5,22
618291820,2020-05-17T19:07:43.25,-25.4483,-179.9287,478.4,,12
618291859,2020-05-18T07:02:35.04,40.7843,-127.2758,16.8,5.7,10
618292713,2020-05-18T23:22:35.27,34.1519,25.5729,13.4,5.5,16
618298360,2020-05-20T12:45:08.34,5.2312,126.0308,102.5,,14
618298511,2020-05-20T23:43:15.88,35.1823,20.2700,12.4,5.8,22
618301613,2020-05-21T19:18:50.59,-2.9850,142.7997,18.0,,13
618324974,2020-05-23T22:50:11.68,34.2143,25.5517,11.6,,21
618324976,2020-05-23T23:02:27.08,-14.8880,66.6331,10.8,5.5,11
618324991,2020-05-24T09:11:28.90,30.3578,50.7574,14.4,,11
