35.9350, 35.9440
35.9900, 35.9693
36.0490, 36.0016
36.0950, 36.0511
36.1270, 36.0985
36.1540, 36.1490
36.1910, 36.2005
36.2380, 36.3147
36.2730, 36.3945
36.3060, 36.4460
36.3440, 36.4914
36.3710, 36.5419
36.3920, 36.5884
36.4190, 36.6389
36.4540, 36.6823
36.4890, 36.7318
36.5180, 36.7823
36.5480, 36.8368
36.5690, 36.8944
36.5780, 36.9489
36.5960, 37.0035
36.6230, 37.0560
36.6660, 37.1035
36.7110, 37.1510
36.7460, 37.1954
36.7780, 37.2439
36.8080, 37.2913
36.8370, 37.3408
